feature_name,feature_family,formula,required_source_fields,point_in_time_rule,annual_quarterly_rule,missing_value_policy,leakage_risk_note
operating_cash_flow_yoy_growth,growth,(operating_cash_flow[t] - operating_cash_flow[t-1y]) / abs(operating_cash_flow[t-1y]),operating_cash_flow,prior period must have an earlier feature_asof_date; both trailing,annual vs prior-year FY; quarterly vs same fiscal quarter prior year; never annual-vs-quarterly,"null if no matching prior-year same-period snapshot, or prior value missing/zero",none; compares only already-reported trailing periods
free_cash_flow_yoy_growth,growth,(free_cash_flow[t] - free_cash_flow[t-1y]) / abs(free_cash_flow[t-1y]),free_cash_flow,prior period must have an earlier feature_asof_date; both trailing,annual vs prior-year FY; quarterly vs same fiscal quarter prior year; never annual-vs-quarterly,"null if no matching prior-year same-period snapshot, prior value missing/zero, or free_cash_flow not derivable (banks)",none; compares only already-reported trailing periods
cash_conversion,quality,operating_cash_flow / net_income,operating_cash_flow;net_income,uses only fields available at feature_asof_date,computed within a single snapshot (no period mixing),null if operating_cash_flow or net_income missing/zero; negative net_income flagged negative_denominator,none; same-period as-reported ratio
fcf_to_net_income,quality,free_cash_flow / net_income,free_cash_flow;net_income,uses only fields available at feature_asof_date,computed within a single snapshot (no period mixing),null if free_cash_flow or net_income missing/zero; negative net_income flagged negative_denominator,none; same-period as-reported ratio
capex_intensity,quality,abs(capital_expenditures) / revenue,capital_expenditures;revenue,uses only fields available at feature_asof_date,computed within a single snapshot (no period mixing),null if capital_expenditures or revenue missing/zero (banks often lack capital_expenditures),none; same-period as-reported ratio
accrual_proxy,quality,(net_income - operating_cash_flow) / total_assets,net_income;operating_cash_flow;total_assets,uses only fields available at feature_asof_date,computed within a single snapshot (no period mixing),"null if any of net_income, operating_cash_flow, total_assets missing or total_assets zero",none; same-period as-reported ratio
log_total_assets,size,log(total_assets) for total_assets > 0,total_assets,uses only fields available at feature_asof_date,computed within a single snapshot (no period mixing),null if total_assets missing or <= 0,none; same-period as-reported level
log_revenue_abs,size,log(abs(revenue)) for revenue != 0,revenue,uses only fields available at feature_asof_date,computed within a single snapshot (no period mixing),null if revenue missing or zero,none; same-period as-reported level
log_total_liabilities_abs,size,log(abs(total_liabilities)) for total_liabilities != 0,total_liabilities,uses only fields available at feature_asof_date,computed within a single snapshot (no period mixing),null if total_liabilities missing or zero,none; same-period as-reported level
filing_lag_days,availability_metadata,feature_asof_date - fiscal_period_end (in days),feature_asof_date;fiscal_period_end,non-negative by construction; a negative lag would be leakage and is flagged feature_asof_before_period_end,per snapshot; independent of period type,null only if feature_asof_date is missing,guards leakage: lag must be >= 0
