setup_id,cycle,family,owning_agent,is_challenge,placebo,needs_provider,driver,cohort,primary_horizon,conditions,hypothesis,challenges,provider_note,status,reason,registered_before_scoring
S8E-060,1,macro_shock_x_sensitivity,macro-cross-asset-agent,False,False,False,commodity,cohort_oil_pos,20,drv_commodity_shock_z ge 1.0; cohort_oil_pos ge 1.0; ret_20 gt 0.0,"When broad commodities shock up, commodity-sensitive names that confirm continue over 20d.",,,REJECTED,non-positive EV after 25bps (-0.010555),True
S8E-070,1,macro_shock_x_sensitivity,macro-cross-asset-agent,False,False,False,sector,cohort_sector_lead,20,cohort_sector_lead ge 1.0; pct_sector_rel_str_60 ge 0.7; sector_breadth ge 0.5,Sector-leadership-sensitive names leading a healthy sector keep leading over 20d.,,,REJECTED,non-positive EV after 25bps (-0.000937),True
S8E-901,1,macro_shock_x_sensitivity,validation-skeptic-agent,True,False,False,oil,cohort_oil_neg,20,drv_oil_shock_z ge 1.0; cohort_oil_neg ge 1.0; ret_5 gt 0.0,CHALLENGE: oil UP shock but oil-NEGATIVE cohort — disproves shock alone drives lift.,S8E-001,,REJECTED,challenge/placebo control (diagnostic; never promoted),True
S8E-902,1,macro_shock_x_sensitivity,validation-skeptic-agent,True,False,False,rates,cohort_rates_neg,20,drv_rates_shock_z ge 1.0; cohort_rates_neg ge 1.0; above_ma50 ge 1.0,CHALLENGE: bond rally but SHORT-duration cohort — wrong sensitivity sign.,S8E-010,,REJECTED,challenge/placebo control (diagnostic; never promoted),True
S8E-903,1,macro_shock_x_sensitivity,validation-skeptic-agent,True,False,False,vix,cohort_high_beta,10,drv_vix_spike_z ge 1.0; cohort_high_beta ge 1.0; above_ma200 ge 1.0,CHALLENGE: vol spike but HIGH-beta cohort — defensive hypothesis inverted.,S8E-030,,REJECTED,challenge/placebo control (diagnostic; never promoted),True
S8E-910,1,macro_shock_x_sensitivity,validation-skeptic-agent,True,True,False,oil,,20,drv_oil_shock_z ge 1.0; ret_5 gt 0.0,"CHALLENGE/placebo: oil shock + confirm, NO sensitivity cohort — isolates cohort lift.",S8E-001,,REJECTED,challenge/placebo control (diagnostic; never promoted),True
S8E-911,1,macro_shock_x_sensitivity,validation-skeptic-agent,True,True,False,vix,,10,drv_vix_spike_z ge 1.0; above_ma200 ge 1.0,"CHALLENGE/placebo: vol spike + uptrend, NO cohort — isolates defensive-cohort lift.",S8E-030,,REJECTED,challenge/placebo control (diagnostic; never promoted),True
S8E-920,1,macro_shock_x_sensitivity,validation-skeptic-agent,True,True,False,oil,cohort_oil_pos,20,cohort_oil_pos ge 1.0; ret_5 gt 0.0,"CHALLENGE/placebo: oil-positive cohort + confirm, NO oil shock — isolates the shock lift.",S8E-001,,REJECTED,challenge/placebo control (diagnostic; never promoted),True
S8E-700,1,revision_event_x_sensitivity,event-driver-agent,False,False,True,analyst_revision,(revision_sensitive),20,drv_analyst_revision_up ge 1.0; cohort_revision_sensitive ge 1.0; ret_5 gt 0.0,Upward consensus revision in a revision-sensitive name with price confirmation drifts up.,,needs analyst estimate/revision history (IBES/Zacks/FMP) — not local,NEEDS_PROVIDER_DATA,external provider data required (not available locally),True
S8E-710,1,news_sentiment_x_sensitivity,event-driver-agent,False,False,True,news_sentiment,(sentiment_sensitive),5,drv_news_sentiment_shock ge 1.0; cohort_sentiment_sensitive ge 1.0; vol_surge_z ge 1.0,A positive sentiment shock in a sentiment-reactive name confirmed by volume drifts up.,,needs timestamped news/sentiment series — not local,NEEDS_PROVIDER_DATA,external provider data required (not available locally),True
S8E-720,1,options_iv_x_sensitivity,event-driver-agent,False,False,True,options_iv,(options_informative),10,drv_options_iv_shift ge 1.0; cohort_options_informative ge 1.0; ret_5 gt 0.0,An IV/skew shift in an options-informative name with price confirmation precedes a move.,,needs options-implied vol/skew history (OptionMetrics/CBOE) — not local,NEEDS_PROVIDER_DATA,external provider data required (not available locally),True
S8E-101,2,macro_shock_x_sensitivity,macro-cross-asset-agent,False,False,False,oil,cohort_oil_pos,20,drv_oil_shock_z ge 1.5; cohort_oil_pos ge 1.0; ret_5 gt 0.0; above_ma50 ge 1.0,Refine: stronger oil shock + oil-positive cohort confirmed by an uptrend.,,,REJECTED,non-positive EV after 25bps (-0.021379),True
S8E-110,2,macro_shock_x_sensitivity,macro-cross-asset-agent,False,False,False,rates,cohort_rates_pos,20,drv_rates_shock_z ge 1.5; cohort_rates_pos ge 1.0; above_ma50 ge 1.0; pct_rel_str_60 ge 0.5,Refine: stronger bond rally + long-duration cohort + relative strength.,,,REJECTED,non-positive EV after 25bps (-0.015604),True
S8E-130,2,macro_shock_x_sensitivity,macro-cross-asset-agent,False,False,False,vix,cohort_low_beta,20,drv_vix_spike_z ge 1.5; cohort_low_beta ge 1.0; above_ma200 ge 1.0; pct_rv_20 le 0.5,Refine: bigger vol spike + low-beta defensive + low own-vol confirmation.,,,REJECTED,non-positive EV after 25bps (-0.005129),True
S8E-940,2,macro_shock_x_sensitivity,validation-skeptic-agent,True,True,False,vix,,20,drv_vix_spike_z ge 1.5,"CHALLENGE/placebo: big vol spike alone, NO cohort/confirm — must not match refined lift.",cycle-2 refinements,,REJECTED,challenge/placebo control (diagnostic; never promoted),True
S8E-941,2,macro_shock_x_sensitivity,validation-skeptic-agent,True,True,False,market,cohort_low_beta,20,cohort_low_beta ge 1.0,"CHALLENGE/placebo: low-beta cohort alone, NO shock/confirm — isolates shock+confirm lift.",cycle-2 refinements,,REJECTED,challenge/placebo control (diagnostic; never promoted),True
S8E-960,3,macro_shock_x_sensitivity,validation-skeptic-agent,True,False,False,vix,cohort_low_beta,60,drv_vix_spike_z ge 1.0; cohort_low_beta ge 1.0; above_ma200 ge 1.0,CHALLENGE: same defensive edge at 60d (higher cost drag) — does lift survive?,lead cost stress,,REJECTED,challenge/placebo control (diagnostic; never promoted),True
S8E-961,3,macro_shock_x_sensitivity,validation-skeptic-agent,True,False,False,oil,cohort_oil_pos,20,drv_oil_shock_z ge 1.0; cohort_oil_pos ge 1.0; ret_5 gt 0.0,CHALLENGE: strongest oil-sensitivity lead restricted to 2015-2026 recency stress.,lead recency stress 2015-2026,,REJECTED,challenge/placebo control (diagnostic; never promoted),True
