hypothesis_id,family,owning_agent,owning_role,driver,cohort,horizon,is_challenge,placebo,status,cycle_assigned,hypothesis
S8J-VIX-HIGHBETA-20,F_s8e011_plus_external_confirmation,sensitivity-signal-agent,macro-sensitivity-agent,vix,cohort_high_beta,20,False,False,QUEUED,,VIX spike in a high-beta name drifts over 20d (vol x beta).
S8J-CH-USD-NOCOHORT-20,F_s8e011_plus_external_confirmation,validation-skeptic-agent,macro-sensitivity-agent,usd,,20,True,True,QUEUED,,"CHALLENGE/placebo: USD sell-off, NO cohort — isolates the cohort contribution."
S8J-EARN-SECLEAD-20,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,earnings_surprise,cohort_sector_lead,20,False,False,QUEUED,,Positive EPS surprise in a sector-leading name drifts up 20d (PEAD x leadership).
S8J-EARN-SECLEAD-10,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,earnings_surprise,cohort_sector_lead,10,False,False,QUEUED,,Positive EPS surprise in a sector-leading name drifts up 10d.
S8J-CH-VIX-NOCOHORT-20,F_s8e011_plus_external_confirmation,validation-skeptic-agent,macro-sensitivity-agent,vix,,20,True,True,QUEUED,,"CHALLENGE/placebo: VIX spike, NO cohort — isolates the cohort contribution."
S8J-EARN-HIGHBETA-20,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,earnings_surprise,cohort_high_beta,20,False,False,QUEUED,,Positive EPS surprise in a high-beta name drifts up 20d.
S8J-EARN-LOWBETA-20,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,earnings_surprise,cohort_low_beta,20,False,False,QUEUED,,Positive EPS surprise in a low-beta defensive name drifts up 20d.
S8J-CH-CREDIT-NOCOHORT-20,F_s8e011_plus_external_confirmation,validation-skeptic-agent,macro-sensitivity-agent,credit,,20,True,True,QUEUED,,"CHALLENGE/placebo: credit move, NO cohort — isolates the cohort contribution."
S8J-EARN-VOLSENS-20,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,earnings_surprise,cohort_vol_spike_sens,20,False,False,QUEUED,,Positive EPS surprise in a volatility-sensitive name drifts up 20d.
S8J-EARN-RATESUP-20,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,earnings_surprise,cohort_rates_neg,20,False,False,QUEUED,,Positive EPS surprise in a rate-sensitive name with positive trend drifts up 20d.
S8J-CH-REV-NOCOHORT-20,B_analyst_revision_x_sensitivity,validation-skeptic-agent,analyst-revision-agent,analyst_revision_proxy,,20,True,True,QUEUED,,"CHALLENGE/placebo: revision proxy up, NO cohort — isolates the cohort contribution."
S8J-EARN-LARGE-SENS-10,C_earnings_surprise_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,earnings_surprise,cohort_surprise_sensitive,10,False,False,QUEUED,,Large (>=10%) positive surprise in a surprise-sensitive name drifts up 10d.
S8J-FILING-SECLEAD-20,H_sec_filings_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,sec_filing,cohort_sector_lead,20,False,False,QUEUED,,A fresh SEC filing in a sector-leading name precedes drift over 20d.
S8J-CH-FILING-NOCOHORT-20,H_sec_filings_x_sensitivity,validation-skeptic-agent,earnings-catalyst-agent,sec_filing,,20,True,True,QUEUED,,"CHALLENGE/placebo: a fresh filing, NO cohort — isolates the cohort contribution."
S8J-FILING-HIGHBETA-20,H_sec_filings_x_sensitivity,earnings-event-agent,earnings-catalyst-agent,sec_filing,cohort_high_beta,20,False,False,QUEUED,,A fresh SEC filing in a high-beta name precedes drift over 20d.
S8J-REV-RATES-20,B_analyst_revision_x_sensitivity,analyst-revision-agent,analyst-revision-agent,analyst_revision_proxy,cohort_rates_neg,20,False,False,QUEUED,,Improving surprise (revision proxy) in a rates-sensitive name drifts up 20d.
S8J-REV-SECLEAD-20,B_analyst_revision_x_sensitivity,analyst-revision-agent,analyst-revision-agent,analyst_revision_proxy,cohort_sector_lead,20,False,False,QUEUED,,Improving surprise (revision proxy) in a sector-leading name drifts up 20d.
